,parcel_id,bath,bed,sqft_calc,fips,yearbuilt,appraised_value,tax_amount
0,11721753,2.0,3.0,1316.0,6037.0,1923.0,205123.0,2627.48
1,11289917,2.0,3.0,1458.0,6037.0,1970.0,136104.0,2319.9
2,11705026,1.0,2.0,1421.0,6037.0,1911.0,35606.0,543.69
3,14269464,3.0,4.0,2541.0,6059.0,2003.0,880456.0,9819.72
4,11446756,2.0,3.0,1491.0,6037.0,1955.0,107110.0,1399.27
5,11389003,2.0,3.0,1650.0,6037.0,1949.0,614000.0,7673.19
6,11967869,1.0,2.0,693.0,6037.0,1921.0,274237.0,3267.47
7,11429175,2.0,4.0,1655.0,6037.0,1955.0,164269.0,2169.62
8,11696784,0.0,0.0,1378.0,6037.0,,168828.0,2135.39
9,11921077,2.0,3.0,1331.0,6037.0,1954.0,224906.0,4086.17
10,11391972,2.0,3.0,1440.0,6037.0,1938.0,286062.0,6093.88
11,11743374,1.0,4.0,2427.0,6037.0,1912.0,519963.0,6444.87
12,12870253,2.0,3.0,1346.0,6037.0,1959.0,465102.0,5627.16
13,11460552,2.0,3.0,1280.0,6037.0,1950.0,899750.0,10783.39
14,14236060,2.0,3.0,1668.0,6059.0,1976.0,196483.0,2376.34
15,14365030,2.5,3.0,1653.0,6059.0,1992.0,605000.0,6185.28
16,14008322,1.0,3.0,879.0,6059.0,1953.0,141875.0,2015.78
17,11552513,2.0,3.0,1108.0,6037.0,1953.0,486866.0,5990.5
18,12535098,2.0,3.0,1947.0,6037.0,1923.0,388478.0,4784.07
19,12443331,1.0,3.0,1004.0,6037.0,1922.0,272154.0,3307.31
20,12955531,3.0,4.0,3416.0,6037.0,1973.0,344328.0,4136.13
21,11391577,1.0,2.0,1061.0,6037.0,1923.0,31839.0,412.48
22,13880422,2.0,3.0,1306.0,6059.0,1963.0,203480.0,2543.86
23,12814323,2.0,3.0,1632.0,6037.0,1970.0,499402.0,5921.67
24,10976131,3.0,3.0,2768.0,6037.0,1951.0,151340.0,2373.63
25,12057023,3.0,3.0,2392.0,6037.0,1963.0,845708.0,9310.38
26,11187927,2.0,3.0,1088.0,6037.0,1955.0,130679.0,2228.31
27,11451345,2.0,3.0,1157.0,6037.0,1954.0,85692.0,1147.37
28,10984661,2.0,3.0,1386.0,6037.0,1957.0,52560.0,777.51
29,12196319,1.0,2.0,728.0,6037.0,1921.0,75227.0,1471.8
30,11367981,2.0,3.0,1191.0,6037.0,1935.0,164685.0,2169.02
31,11312124,2.0,3.0,1358.0,6037.0,1991.0,168626.0,3107.95
32,12035592,3.0,5.0,4048.0,6037.0,1922.0,2673077.0,32411.31
33,13071085,3.0,4.0,2291.0,6037.0,1980.0,397616.0,5284.09
34,10732347,2.0,4.0,2115.0,6037.0,1960.0,115306.0,1613.84
35,10722858,2.0,4.0,1570.0,6037.0,1960.0,373282.0,4619.79
36,12114701,1.0,2.0,918.0,6037.0,1908.0,374368.0,4406.57
37,13083743,2.0,3.0,1050.0,6037.0,1960.0,259334.0,3345.78
38,17086759,2.0,3.0,1373.0,6111.0,1957.0,62048.0,703.0
39,13921492,2.0,4.0,1485.0,6059.0,1959.0,63338.0,974.9
40,11969146,1.0,3.0,1716.0,6037.0,1928.0,44455.0,690.81
41,12178305,3.0,5.0,3048.0,6037.0,1967.0,1150000.0,12741.62
42,11289757,2.0,3.0,2092.0,6037.0,1956.0,217006.0,3221.12
43,11961462,1.0,2.0,1184.0,6037.0,1927.0,46336.0,603.88
44,12492881,2.0,3.0,1569.0,6037.0,1954.0,73054.0,1206.4
45,12285822,2.0,2.0,1069.0,6037.0,1938.0,44826.0,997.56
46,12519794,2.0,4.0,1382.0,6037.0,1953.0,185483.0,2414.53
47,14092694,2.0,3.0,1255.0,6059.0,1955.0,188730.0,2586.54
48,12749741,2.0,3.0,1285.0,6037.0,1954.0,82374.0,1315.15
49,11797465,1.0,2.0,865.0,6037.0,1906.0,280000.0,3458.73
50,11733550,1.0,4.0,1356.0,6037.0,1925.0,37019.0,532.7
51,10779619,3.0,3.0,2057.0,6037.0,1968.0,639607.0,2562.42
52,11917650,3.0,4.0,1502.0,6037.0,1926.0,257446.0,3366.73
53,14012730,1.5,4.0,1973.0,6059.0,1958.0,80102.0,1148.76
54,14430658,0.0,0.0,,6059.0,,5346951.0,82484.04
55,11830465,1.0,3.0,1308.0,6037.0,1930.0,219078.0,3108.41
56,17165634,2.0,6.0,2526.0,6111.0,1950.0,94344.0,1082.46
57,10811539,4.0,4.0,2806.0,6037.0,1967.0,708607.0,8760.58
58,12048224,1.0,3.0,1260.0,6037.0,1923.0,466127.0,5151.64
59,14010551,1.0,3.0,1934.0,6059.0,1939.0,382158.0,4781.2
60,12811794,1.0,2.0,959.0,6037.0,1923.0,66488.0,1246.35
61,12347492,2.0,3.0,1560.0,6037.0,1954.0,465101.0,5826.88
62,12941764,2.0,3.0,1353.0,6037.0,1956.0,246816.0,3378.03
63,10871677,1.0,3.0,1102.0,6037.0,1955.0,206623.0,2601.94
64,14257065,1.5,2.0,1080.0,6059.0,1964.0,137444.0,1929.18
65,11499751,3.0,5.0,2259.0,6037.0,1964.0,119245.0,1562.52
66,11603473,3.0,4.0,3588.0,6037.0,1951.0,142693.0,2007.31
67,11958628,1.0,3.0,927.0,6037.0,1910.0,46933.0,588.64
68,12118682,2.0,4.0,2121.0,6037.0,1924.0,74714.0,1128.2
69,11056104,3.0,3.0,1572.0,6037.0,1961.0,404060.0,4934.43
70,11503172,3.0,4.0,3041.0,6037.0,1949.0,245311.0,2963.65
71,11993956,2.0,3.0,1692.0,6037.0,1923.0,649169.0,8063.11
72,11054736,2.0,4.0,1611.0,6037.0,1956.0,89640.0,1144.73
73,11206210,2.0,2.0,1078.0,6037.0,1985.0,124006.0,2290.48
74,12563708,2.0,3.0,1476.0,6037.0,1948.0,58143.0,881.04
75,13857433,1.0,2.0,1387.0,6059.0,1951.0,280967.0,3401.88
76,13839883,2.0,3.0,1426.0,6059.0,1955.0,364081.0,4409.28
77,11206381,3.0,3.0,1732.0,6037.0,1986.0,174459.0,3028.09
78,12482839,2.0,4.0,1622.0,6037.0,1951.0,300777.0,3912.97
79,14054846,1.5,3.0,1122.0,6059.0,1963.0,199838.0,2418.9
80,13989370,1.5,3.0,1125.0,6059.0,1955.0,84341.0,1195.28
81,14482667,3.5,4.0,3137.0,6059.0,1989.0,600238.0,6131.32
82,14286211,2.5,5.0,2531.0,6059.0,1968.0,122618.0,1694.88
83,10924250,1.0,3.0,1448.0,6037.0,1948.0,352291.0,4275.09
84,14174538,2.0,4.0,1560.0,6059.0,1963.0,311209.0,3729.48
85,10885672,2.0,4.0,1344.0,6037.0,1949.0,85677.0,1104.82
86,12484642,1.0,3.0,1122.0,6037.0,1950.0,444000.0,5548.73
87,12739947,2.0,2.0,1445.0,6037.0,1959.0,529000.0,6692.25
88,14472456,3.5,4.0,3259.0,6059.0,1992.0,901542.0,8724.3
89,11513448,6.0,5.0,3540.0,6037.0,1953.0,8000000.0,83955.53
90,13844056,1.0,3.0,1335.0,6059.0,1950.0,63192.0,1049.18
91,14053136,2.0,4.0,1914.0,6059.0,1963.0,414743.0,4729.32
92,14175466,4.0,3.0,3324.0,6059.0,1998.0,709615.0,7957.48
93,12846559,3.0,4.0,2610.0,6037.0,1995.0,710674.0,8752.83
94,13837417,1.0,2.0,987.0,6059.0,1937.0,357144.0,4253.64
95,14280254,1.0,2.0,1114.0,6059.0,1939.0,524529.0,6159.04
96,13842033,1.0,2.0,914.0,6059.0,1920.0,39917.0,789.28
97,14056849,3.0,4.0,1976.0,6059.0,1977.0,468642.0,5369.16
98,14173678,2.5,4.0,2101.0,6059.0,2001.0,567655.0,6772.14
99,12614763,2.0,3.0,1641.0,6037.0,1960.0,130161.0,1666.61
100,11206504,3.0,3.0,2149.0,6037.0,1989.0,211886.0,3441.14
101,13894337,3.5,3.0,4511.0,6059.0,2008.0,5422228.0,57183.3
102,10827194,2.0,4.0,1576.0,6037.0,1952.0,82375.0,1046.08
103,11289836,2.0,4.0,1700.0,6037.0,1969.0,194600.0,3099.72
104,11288389,2.0,4.0,1591.0,6037.0,1990.0,87378.0,1964.11
105,11166665,2.0,3.0,1530.0,6037.0,1980.0,465989.0,6345.94
106,13935796,2.5,4.0,2019.0,6059.0,1955.0,75126.0,1106.88
107,10957128,2.0,3.0,1205.0,6037.0,1946.0,443008.0,4865.23
108,11287385,2.0,4.0,1370.0,6037.0,1957.0,121927.0,2231.08
109,17208785,7.5,5.0,6278.0,6111.0,1998.0,1389230.0,15101.52
110,14100525,1.5,2.0,1142.0,6059.0,1974.0,192248.0,2341.24
111,12792562,2.0,3.0,1692.0,6037.0,1953.0,240173.0,3042.5
112,14224435,2.0,4.0,1909.0,6059.0,1962.0,551273.0,6043.06
113,10867744,4.0,6.0,4105.0,6037.0,1969.0,397335.0,5138.06
114,13909504,3.0,3.0,2323.0,6059.0,1985.0,426415.0,5043.06
115,12462465,2.0,2.0,1766.0,6037.0,1939.0,203113.0,2486.26
116,12265744,1.0,3.0,1493.0,6037.0,1951.0,304000.0,5363.37
117,14185262,2.0,4.0,1767.0,6059.0,1966.0,554788.0,6299.18
118,11033823,1.0,3.0,1014.0,6037.0,1949.0,329298.0,4132.95
119,12460440,1.0,2.0,1268.0,6037.0,1949.0,309098.0,3762.96
120,12752649,3.0,3.0,2020.0,6037.0,1957.0,120877.0,1801.99
121,14217005,2.5,3.0,1398.0,6059.0,1987.0,501586.0,5128.66
122,13973341,1.5,3.0,1463.0,6059.0,1955.0,47572.0,874.76
123,12400532,1.0,3.0,1135.0,6037.0,1951.0,405844.0,4956.25
124,12779665,3.0,3.0,1912.0,6037.0,1988.0,613000.0,7620.79
125,11553985,2.0,2.0,1581.0,6037.0,1941.0,526237.0,6513.41
126,11016174,2.0,4.0,1545.0,6037.0,1957.0,529000.0,6454.32
127,12767272,2.0,3.0,1612.0,6037.0,1941.0,240155.0,3904.88
128,10816453,3.0,3.0,2388.0,6037.0,1951.0,925806.0,11212.58
